iter	Passed	Remaining
557	20070	15897
558	20105	15861
559	20145	15828
560	20181	15792
561	20222	15760
562	20267	15731
563	20307	15698
564	20350	15668
565	20393	15637
566	20434	15605
567	20479	15575
568	20520	15543
569	20559	15509
570	20594	15473
571	20632	15438
572	20668	15402
573	20705	15366
574	20742	15331
575	20778	15295
576	20814	15259
577	20852	15224
578	20889	15189
579	20929	15155
580	20968	15122
581	21002	15084
582	21040	15049
583	21069	15008
584	21107	14973
585	21149	14941
586	21194	14912
587	21235	14879
588	21273	14844
589	21312	14810
590	21352	14776
591	21386	14739
592	21421	14702
593	21457	14666
594	21495	14631
595	21531	14595
596	21570	14560
597	21609	14526
598	21646	14491
599	21682	14454
600	21716	14417
601	21752	14380
602	21790	14346
603	21824	14308
604	21861	14272
605	21896	14236
606	21929	14198
607	21963	14160
608	22001	14125
609	22037	14089
610	22072	14052
611	22110	14017
612	22145	13981
613	22179	13943
614	22215	13906
615	22249	13869
616	22286	13834
617	22320	13796
618	22353	13758
619	22387	13721
620	22424	13685
621	22459	13649
622	22495	13612
623	22529	13575
624	22567	13540
625	22604	13505
626	22640	13468
627	22673	13430
628	22707	13393
629	22739	13355
630	22771	13316
631	22802	13277
632	22835	13239
633	22866	13200
634	22899	13162
635	22932	13125
636	22966	13087
637	22999	13050
638	23031	13011
639	23076	12980
640	23125	12951
641	23191	12932
642	23244	12905
643	23286	12872
644	23326	12838
645	23366	12804
646	23406	12770
647	23446	12736
648	23486	12702
649	23527	12668
650	23565	12633
651	23603	12598
652	23638	12561
653	23672	12523
654	23705	12486
655	23742	12450
656	23778	12413
657	23813	12377
658	23848	12340
659	23884	12304
660	23922	12268
661	23962	12234
662	24000	12199
663	24041	12165
664	24080	12130
665	24116	12094
666	24152	12057
667	24191	12023
668	24229	11988
669	24266	11952
670	24305	11917
671	24341	11880
672	24375	11843
673	24413	11808
674	24447	11771
675	24483	11734
676	24521	11699
677	24557	11662
678	24594	11627
679	24625	11588
680	24670	11556
681	24712	11522
682	24778	11500
683	24841	11476
684	24882	11442
685	24926	11409
686	24968	11375
687	25015	11344
688	25060	11311
689	25102	11278
690	25145	11244
691	25195	11214
692	25245	11183
693	25296	11153
694	25341	11121
695	25387	11088
696	25433	11056
697	25475	11022
698	25523	10990
699	25576	10961
700	25613	10924
701	25658	10891
702	25716	10864
703	25780	10839
704	25836	10810
705	25890	10781
706	25937	10749
707	25984	10716
708	26033	10685
709	26077	10651
710	26126	10619
711	26172	10586
712	26218	10553
713	26265	10520
714	26312	10488
715	26356	10454
716	26398	10419
717	26441	10384
718	26480	10349
719	26525	10315
720	26575	10283
721	26620	10250
722	26663	10215
723	26699	10178
724	26780	10158
725	26850	10133
726	26932	10113
727	27007	10090
728	27087	10069
729	27156	10044
730	27213	10014
731	27269	9983
732	27324	9953
733	27382	9923
734	27430	9889
735	27481	9857
736	27537	9826
737	27588	9794
738	27635	9760
739	27682	9726
740	27729	9692
741	27773	9657
742	27838	9629
743	27905	9601
744	27974	9575
745	28035	9545
746	28091	9514
747	28149	9483
748	28209	9453
749	28265	9421
750	28332	9393
751	28392	9363
752	28464	9336
753	28520	9304
754	28578	9273
755	28636	9242
756	28684	9207
757	28730	9172
758	28774	9136
759	28817	9100
760	28860	9063
761	28908	9029
762	28960	8995
763	29023	8965
764	29087	8935
765	29149	8904
766	29214	8874
767	29267	8841
768	29319	8807
769	29365	8771
770	29414	8736
771	29467	8702
772	29516	8667
773	29566	8633
774	29619	8599
775	29667	8563
776	29717	8528
777	29763	8492
778	29803	8455
779	29846	8418
780	29886	8380
781	29926	8342
782	29968	8305
783	30009	8267
784	30070	8235
785	30110	8197
786	30149	8160
787	30188	8121
788	30224	8082
789	30266	8045
790	30305	8007
791	30346	7969
792	30397	7934
793	30442	7898
794	30486	7861
795	30531	7824
796	30573	7787
797	30617	7750
798	30660	7713
799	30703	7675
800	30742	7637
801	30786	7600
802	30827	7562
803	30870	7525
804	30906	7486
805	30960	7451
806	31010	7416
807	31053	7378
808	31097	7341
809	31146	7305
810	31193	7269
811	31238	7232
812	31279	7194
813	31319	7156
814	31357	7118
815	31395	7079
816	31438	7041
817	31478	7003
818	31515	6964
819	31553	6926
820	31589	6887
821	31626	6848
822	31667	6810
823	31708	6772
824	31751	6735
825	31794	6697
826	31833	6659
827	31872	6620
828	31919	6584
829	31963	6546
830	32003	6508
831	32042	6470
832	32081	6431
833	32116	6392
834	32153	6353
835	32193	6315
836	32231	6276
837	32267	6237
838	32305	6199
839	32342	6160
840	32380	6121
841	32419	6083
842	32457	6044
843	32500	6007
844	32541	5969
845	32581	5930
846	32623	5893
847	32662	5854
848	32701	5816
849	32746	5778
850	32795	5742
851	32840	5704
852	32884	5667
853	32927	5629
854	32975	5592
855	33023	5555
856	33075	5518
857	33119	5481
858	33157	5442
859	33203	5405
860	33242	5366
861	33278	5327
862	33313	5288
863	33354	5250
864	33391	5211
865	33426	5172
866	33460	5132
867	33497	5094
868	33536	5055
869	33570	5016
870	33603	4976
871	33644	4938
872	33682	4899
873	33717	4860
874	33753	4821
875	33791	4783
876	33828	4744
877	33863	4705
878	33894	4665
879	33926	4626
880	33960	4587
881	33997	4548
882	34033	4509
883	34066	4470
884	34100	4431
885	34132	4391
886	34168	4352
887	34206	4314
888	34244	4275
889	34279	4236
890	34311	4197
891	34350	4159
892	34382	4119
893	34417	4080
894	34448	4041
895	34481	4002
896	34521	3963
897	34559	3925
898	34593	3886
899	34627	3847
900	34661	3808
901	34694	3769
902	34728	3730
903	34763	3691
904	34798	3652
905	34833	3614
906	34869	3575
907	34904	3536
908	34935	3497
909	34965	3458
910	34996	3418
911	35026	3379
912	35061	3340
913	35093	3302
914	35126	3263
915	35163	3224
916	35202	3186
917	35236	3147
918	35268	3108
919	35303	3069
920	35347	3031
921	35388	2993
922	35433	2956
923	35475	2917
